dateTime,measure,value
2023-08-05T08:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.454
2023-08-05T08:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.436
2023-08-05T08:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.433
2023-08-05T08:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.360
2023-08-05T07:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.237
2023-08-05T07:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.141
2023-08-05T07:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.124
2023-08-05T07:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.108
2023-08-05T06:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.082
2023-08-05T06:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.083
2023-08-05T06:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.059
2023-08-05T06:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.044
2023-08-05T05:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.044
2023-08-05T05:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.043
2023-08-05T05:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.039
2023-08-05T05:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T04:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T04:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T04:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T03:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T03:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T03:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T02:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T02:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T02:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T02:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T01:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T01:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.039
2023-08-05T01:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T01:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.039
2023-08-05T00:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.039
2023-08-05T00:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T00:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-05T00:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T23:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T23:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T23:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T23:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T22:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T22:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T22:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T22:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T21:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T21:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T21:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T21:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T20:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T20:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T20:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T20:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T19:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T19:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T19:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T19:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T18:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T18:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T18:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T18:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T17:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T17:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T17:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T17:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
2023-08-04T16:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.038
