Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Line,->,->,->,->,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
RouteID,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
45,3300RU0379,-,-,Mensing Avenue,06:53,06:53,07:42,07:42,09:03,09:03,09:53,09:53,11:03,11:03,12:13,12:13,13:23,13:23,14:33,14:33,15:43,15:43,17:03,17:03,18:03,18:03,19:00,19:00
46,3300RU0378,-,-,Cotgrave Road,06:54,06:54,07:44,07:44,09:04,09:04,09:54,09:54,11:04,11:04,12:14,12:14,13:24,13:24,14:34,14:34,15:44,15:44,17:04,17:04,18:04,18:04,19:01,19:01
47,3300RU0375,-,-,Cotgrave Lane End,06:55,06:55,07:45,07:45,09:05,09:05,09:55,09:55,11:05,11:05,12:15,12:15,13:25,13:25,14:35,14:35,15:45,15:45,17:05,17:05,18:05,18:05,19:02,19:02
48,3300RU0703,-,-,Cotgrave Lane,06:56,06:56,07:46,07:46,09:06,09:06,09:56,09:56,11:06,11:06,12:16,12:16,13:26,13:26,14:36,14:36,15:46,15:46,17:06,17:06,18:06,18:06,19:03,19:03
49,3300RU0390,-,-,Tollerton Lane,06:57,06:57,07:47,07:47,09:07,09:07,09:57,09:57,11:07,11:07,12:17,12:17,13:27,13:27,14:37,14:37,15:47,15:47,17:07,17:07,18:07,18:07,19:04,19:04
50,3300RU0757,-,-,Nottingham Airport,06:59,06:59,07:49,07:49,09:09,09:09,09:59,09:59,11:09,11:09,12:19,12:19,13:29,13:29,14:39,14:39,15:49,15:49,17:09,17:09,18:09,18:09,19:06,19:06
51,3300RU0389,-,-,Tollerton Park,07:00,07:00,07:50,07:50,09:10,09:10,10:00,10:00,11:10,11:10,12:20,12:20,13:30,13:30,14:40,14:40,15:50,15:50,17:10,17:10,18:10,18:10,19:06,19:06
52,3300RU0126,-,-,Beckside,07:02,07:02,07:52,07:52,09:12,09:12,10:02,10:02,11:12,11:12,12:22,12:22,13:32,13:32,14:42,14:42,15:52,15:52,17:12,17:12,18:12,18:12,19:07,19:07
53,3300RU0116,-,-,Morrisons,07:03,07:03,07:53,07:53,09:13,09:13,10:03,10:03,11:13,11:13,12:23,12:23,13:33,13:33,14:43,14:43,15:53,15:53,17:13,17:13,18:13,18:13,-,-
54,3300RU0796,-,-,Ambleside,07:03,07:03,07:53,07:53,09:13,09:13,10:03,10:03,11:13,11:13,12:23,12:23,13:33,13:33,14:43,14:43,15:53,15:53,17:13,17:13,18:13,18:13,19:08,19:08
